Achieve_Agent,to be continue
Achieve_Goal,to be continue
Achieve_Means,to be continue
Action_Act,to be continue
Action_Agent,to be continue
Action_Domain,to be continue
Action_Manner,to be continue
Adducing_Medium,to be continue
Adducing_Role,to be continue
Adducing_Speaker,to be continue
Adducing_Specified_entity,to be continue
Agree.or.refuse.to.act_Proposed_action,to be continue
Agree.or.refuse.to.act_Speaker,to be continue
Arranging_Agent,to be continue
Arranging_Configuration,to be continue
Arranging_Location,to be continue
Arranging_Theme,to be continue
Arrest_Authorities,to be continue
Arrest_Charges,to be continue
Arrest_Offense,to be continue
Arrest_Suspect,to be continue
Arriving_Goal,to be continue
Arriving_Means,to be continue
Arriving_Path,to be continue
Arriving_Place,to be continue
Arriving_Purpose,to be continue
Arriving_Source,to be continue
Arriving_Theme,to be continue
Assistance_Benefited_party,to be continue
Assistance_Focal_entity,to be continue
Assistance_Goal,to be continue
Assistance_Helper,to be continue
Assistance_Means,to be continue
Attack_Assailant,to be continue
Attack_Means,to be continue
Attack_Victim,to be continue
Attack_Weapon,to be continue
Bearing.arms_Protagonist,to be continue
Bearing.arms_Weapon,to be continue
Becoming_Entity,to be continue
Becoming_Final_category,to be continue
Becoming_Final_quality,to be continue
Becoming.a.member_Group,to be continue
Becoming.a.member_New_member,to be continue
Bodily.harm_Agent,to be continue
Bodily.harm_Body_part,to be continue
Bodily.harm_Cause,to be continue
Bodily.harm_Instrument,to be continue
Bodily.harm_Victim,to be continue
Bringing_Agent,to be continue
Bringing_Area,to be continue
Bringing_Carrier,to be continue
Bringing_Goal,to be continue
Bringing_Source,to be continue
Bringing_Theme,to be continue
Building_Agent,to be continue
Building_Components,to be continue
Building_Created_entity,to be continue
Building_Place,to be continue
Catastrophe_Cause,to be continue
Catastrophe_Patient,to be continue
Catastrophe_Place,to be continue
Catastrophe_Undesirable_event,to be continue
Causation_Actor,to be continue
Causation_Affected,to be continue
Causation_Cause,to be continue
Causation_Effect,to be continue
Causation_Means,to be continue
Cause.change.of.position.on.a.scale_Agent,to be continue
Cause.change.of.position.on.a.scale_Attribute,to be continue
Cause.change.of.position.on.a.scale_Cause,to be continue
Cause.change.of.position.on.a.scale_Difference,to be continue
Cause.change.of.position.on.a.scale_Item,to be continue
Cause.change.of.position.on.a.scale_Value_1,to be continue
Cause.change.of.position.on.a.scale_Value_2,to be continue
Cause.to.amalgamate_Agent,to be continue
Cause.to.amalgamate_Part_1,to be continue
Cause.to.amalgamate_Part_2,to be continue
Cause.to.amalgamate_Parts,to be continue
Cause.to.amalgamate_Whole,to be continue
Cause.to.make.progress_Agent,to be continue
Cause.to.make.progress_Project,to be continue
Change_Agent,to be continue
Change_Attribute,to be continue
Change_Cause,to be continue
Change_Entity,to be continue
Change_Final_category,to be continue
Change_Final_value,to be continue
Change_Initial_category,to be continue
Change.of.leadership_Body,to be continue
Change.of.leadership_New_leader,to be continue
Change.of.leadership_Old_leader,to be continue
Change.of.leadership_Old_order,to be continue
Change.of.leadership_Role,to be continue
Change.of.leadership_Selector,to be continue
Check_Inspector,to be continue
Check_Means,to be continue
Check_Unconfirmed_content,to be continue
Choosing_Chosen,to be continue
Choosing_Cognizer,to be continue
Choosing_Possibilities,to be continue
Collaboration_Partners,to be continue
Collaboration_Undertaking,to be continue
Come.together_Configuration,to be continue
Come.together_Individuals,to be continue
Come.together_Place,to be continue
Coming.to.be_Components,to be continue
Coming.to.be_Entity,to be continue
Coming.to.be_Place,to be continue
Coming.to.be_Time,to be continue
Coming.to.believe_Cognizer,to be continue
Coming.to.believe_Content,to be continue
Coming.to.believe_Means,to be continue
Commerce.buy_Buyer,to be continue
Commerce.buy_Goods,to be continue
Commerce.buy_Seller,to be continue
Commerce.pay_Buyer,to be continue
Commerce.pay_Goods,to be continue
Commerce.pay_Money,to be continue
Commerce.pay_Seller,to be continue
Commerce.sell_Buyer,to be continue
Commerce.sell_Goods,to be continue
Commerce.sell_Money,to be continue
Commerce.sell_Seller,to be continue
Commitment_Addressee,to be continue
Commitment_Message,to be continue
Commitment_Speaker,to be continue
Committing.crime_Crime,to be continue
Committing.crime_Instrument,to be continue
Committing.crime_Perpetrator,to be continue
Communication_Addressee,to be continue
Communication_Interlocutors,to be continue
Communication_Message,to be continue
Communication_Speaker,to be continue
Communication_Topic,to be continue
Communication_Trigger,to be continue
Competition_Competition,to be continue
Competition_Participants,to be continue
Competition_Venue,to be continue
Confronting.problem_Activity,to be continue
Confronting.problem_Experiencer,to be continue
Connect_Figures,to be continue
Connect_Ground,to be continue
Conquering_Conqueror,to be continue
Conquering_Means,to be continue
Conquering_Theme,to be continue
Containing_Container,to be continue
Containing_Contents,to be continue
Control_Controlling_variable,to be continue
Control_Dependent_variable,to be continue
Convincing_Addressee,to be continue
Convincing_Content,to be continue
Convincing_Speaker,to be continue
Convincing_Topic,to be continue
Cost_Asset,to be continue
Cost_Goods,to be continue
Cost_Intended_event,to be continue
Cost_Payer,to be continue
Cost_Rate,to be continue
Create.artwork_Activity,to be continue
Create.artwork_Culture,to be continue
Creating_Cause,to be continue
Creating_Created_entity,to be continue
Creating_Creator,to be continue
Criminal.investigation_Incident,to be continue
Criminal.investigation_Investigator,to be continue
Criminal.investigation_Suspect,to be continue
Cure_Affliction,to be continue
Cure_Medication,to be continue
Cure_Patient,to be continue
Cure_Treatment,to be continue
Damaging_Agent,to be continue
Damaging_Cause,to be continue
Damaging_Patient,to be continue
Death_Deceased,to be continue
Deciding_Cognizer,to be continue
Deciding_Decision,to be continue
Defending_Assailant,to be continue
Defending_Defender,to be continue
Defending_Instrument,to be continue
Defending_Victim,to be continue
Departing_Goal,to be continue
Departing_Path,to be continue
Departing_Source,to be continue
Departing_Traveller,to be continue
Destroying_Cause,to be continue
Destroying_Destroyer,to be continue
Destroying_Means,to be continue
Destroying_Patient,to be continue
Dispersal_Agent,to be continue
Dispersal_Cause,to be continue
Dispersal_Goal_area,to be continue
Dispersal_Individuals,to be continue
Earnings.and.losses_Earner,to be continue
Earnings.and.losses_Earnings,to be continue
Earnings.and.losses_Goods,to be continue
Education.teaching_Course,to be continue
Education.teaching_Fact,to be continue
Education.teaching_Role,to be continue
Education.teaching_Skill,to be continue
Education.teaching_Student,to be continue
Education.teaching_Subject,to be continue
Education.teaching_Teacher,to be continue
Emergency_Place,to be continue
Emergency_Undesirable_event,to be continue
Employment_Employee,to be continue
Employment_Employer,to be continue
Employment_Field,to be continue
Employment_Place_of_employment,to be continue
Employment_Position,to be continue
Employment_Task,to be continue
Employment_Type,to be continue
Emptying_Agent,to be continue
Emptying_Cause,to be continue
Emptying_Source,to be continue
Emptying_Theme,to be continue
Exchange_Exchanger_1,to be continue
Exchange_Exchanger_2,to be continue
Exchange_Exchangers,to be continue
Exchange_Theme_1,to be continue
Exchange_Theme_2,to be continue
Exchange_Themes,to be continue
Expansion_Agent,to be continue
Expansion_Dimension,to be continue
Expansion_Initial_size,to be continue
Expansion_Item,to be continue
Expansion_Result_size,to be continue
Filling_Agent,to be continue
Filling_Cause,to be continue
Filling_Goal,to be continue
Filling_Theme,to be continue
GetReady_Activity,to be continue
GetReady_Protagonist,to be continue
Getting_Means,to be continue
Getting_Recipient,to be continue
Getting_Source,to be continue
Getting_Theme,to be continue
Giving_Offerer,to be continue
Giving_Recipient,to be continue
Giving_Theme,to be continue
Hindering_Action,to be continue
Hindering_Hindrance,to be continue
Hindering_Protagonist,to be continue
Hold_Entity,to be continue
Hold_Manipulator,to be continue
Hostile.encounter_Instrument,to be continue
Hostile.encounter_Issue,to be continue
Hostile.encounter_Purpose,to be continue
Hostile.encounter_Side_1,to be continue
Hostile.encounter_Side_2,to be continue
Hostile.encounter_Sides,to be continue
Influence_Action,to be continue
Influence_Agent,to be continue
Influence_Behavior,to be continue
Influence_Cognizer,to be continue
Influence_Product,to be continue
Influence_Situation,to be continue
Ingestion_Ingestibles,to be continue
Ingestion_Ingestor,to be continue
Judgment.communication_Addressee,to be continue
Judgment.communication_Communicator,to be continue
Judgment.communication_Evaluee,to be continue
Judgment.communication_Medium,to be continue
Judgment.communication_Reason,to be continue
Judgment.communication_Topic,to be continue
Killing_Cause,to be continue
Killing_Instrument,to be continue
Killing_Killer,to be continue
Killing_Means,to be continue
Killing_Victim,to be continue
Know_Cognizer,to be continue
Know_Evidence,to be continue
Know_Instrument,to be continue
